,codigo_trecho,vl_km_inic,vl_km_fina,vl_extensa,VMDa_C,VMDa_D,ds_sup_fed,GEH,acidentes_sem_vitima,acidentes_com_vitima,acidentes_com_mortos,acidentes_totais,UPS_medio,UPS_max,UPS_min,VDM,ICA_medio,ICA_max,ICA_min,tipo_pista,tipo_area,tipo_terreno
2352,376BMS0040,51.1,56.2,5.1,1210.0,1163.0,PAV,A,0.0,4.0,0.0,4.0,6.666666666666667,10.0,5.0,2472.0,4.995666666666666,5.111,4.938,Simples,Rural,Ondulado
2353,376BMS0050,58.6,63.4,4.8,2581.0,2561.0,PAV,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5094.0,8.035,8.035,8.035,Simples,Urbana,Ondulado
2354,376BMS0065,64.5,80.1,15.6,1247.0,1219.0,PAV,,0.0,1.0,3.0,4.0,14.666666666666666,26.0,5.0,2409.0,6.085666666666666,8.035,5.111,Simples,Rural,Plano
2355,376BMS0080,81.4,116.7,35.3,1253.0,1257.0,PAV,A,2.0,4.0,1.0,7.0,5.833333333333333,13.0,1.0,3476.0,5.530166666666666,7.799,4.938,Simples,Rural,Plano
2356,376BMS0090,116.7,143.2,26.5,1317.0,971.0,PAV,,3.0,3.0,4.0,10.0,7.777777777777778,14.0,1.0,2579.0,5.708333333333333,7.799,5.111,Simples,Rural,Plano
2357,376BMS0092,143.2,172.1,28.9,1320.0,973.0,PAV,,0.0,8.0,2.0,10.0,9.428571428571429,18.0,5.0,2579.0,5.111,5.111,5.111,Simples,Rural,Plano
2358,376BMS0094,172.1,174.8,2.7,1342.0,1057.0,DUP,,0.0,7.0,0.0,7.0,8.75,10.0,5.0,2579.0,5.0245,5.111,4.938,Simples,Rural,Ondulado
2359,376BPR0130,0.0,8.6,8.6,1428.0,1453.0,PLA,A,15.0,76.0,3.0,94.0,54.25,106.0,5.0,2169.625,5.0245,5.111,4.938,Simples,Rural,Ondulado
2360,376BPR0135,8.6,17.0,8.4,1538.0,1623.0,PLA,,4.0,17.0,1.0,22.0,14.571428571428571,38.0,7.0,3048.0,5.470285714285715,7.799,4.938,Simples,Rural,Plano
2361,376BPR0140,17.0,29.6,12.6,1640.0,1706.0,PLA,A,0.0,1.0,0.0,1.0,5.0,5.0,5.0,3048.0,7.799,7.799,7.799,Simples,Urbana,Plano
2362,376BPR0145,29.6,35.5,5.9,1317.0,1445.0,PAV,,0.0,1.0,1.0,2.0,9.0,13.0,5.0,2820.0,5.1419999999999995,5.346,4.938,Simples,N/A,Montanhoso
2363,376BPR0150,35.5,43.2,7.7,1317.0,1445.0,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,2820.0,5.111,5.111,5.111,Simples,Rural,Plano
2364,376BPR0155,43.2,74.5,31.3,2320.0,2163.0,PAV,A,2.0,13.0,4.0,19.0,9.916666666666666,18.0,1.0,2815.0,5.082166666666667,5.111,4.938,Simples,Rural,Plano
2365,376BPR0160,74.5,100.8,26.3,1378.0,1381.0,PAV,,1.0,10.0,1.0,12.0,7.111111111111111,13.0,5.0,2689.0,5.034111111111111,5.111,4.938,Simples,Rural,Plano
2366,376BPR0165,100.8,106.9,6.1,1378.0,1379.0,PAV,,2.0,10.0,0.0,12.0,13.0,25.0,6.0,2689.0,5.73975,7.799,4.938,Simples,Rural,Plano
2367,376BPR0170,106.9,110.7,3.8,6082.0,6945.0,PAV,,3.0,9.0,0.0,12.0,16.0,21.0,12.0,12656.0,6.9816666666666665,8.035,5.111,Simples,Urbana,Plano
2368,376BPR0180,111.2,121.4,10.2,6025.0,5931.0,PAV,,1.0,5.0,0.0,6.0,5.2,6.0,5.0,11596.0,5.0888,5.346,4.938,Simples,Rural,Ondulado
2369,376BPR0185,121.4,134.1,12.7,5731.0,5572.0,PAV,A,3.0,9.0,0.0,12.0,9.6,17.0,5.0,10758.0,5.3793999999999995,6.626,4.938,Simples,Rural,Plano
2370,376BPR0193,135.1,139.5,4.4,7868.0,7212.0,PAV,,2.0,6.0,2.0,10.0,19.333333333333332,41.0,1.0,14418.0,7.956333333333333,8.035,7.799,Simples,Urbana,Ondulado
2371,376BPR0195,139.5,144.2,4.7,7858.0,7195.0,PAV,,0.0,5.0,2.0,7.0,12.75,23.0,5.0,14404.0,5.0245,5.111,4.938,Simples,Rural,Ondulado
